w,t_zr,t_al_mg
1239.7,4.33707138532e-09,9.33855574493e-08
1207.11,2.0205719226e-09,1.72187779822e-07
1175.29,9.34463696555e-10,2.9204511941e-07
1144.27,6.79522541841e-10,4.91194058295e-07
1114.14,5.3528102043e-10,7.54999009963e-07
1084.79,5.66887138855e-10,9.54588835357e-07
1056.23,6.28920496699e-10,1.15568350348e-06
1028.46,6.91519032665e-10,1.35904496537e-06
1001.37,9.09319295042e-10,1.67980861624e-06
974.99,1.22320403819e-09,2.15405657581e-06
949.307,1.59635035759e-09,2.85281056081e-06
924.322,2.0380958961e-09,3.74376585156e-06
899.964,3.07338698021e-09,5.85000947763e-06
876.299,4.96812668917e-09,9.59671492407e-06
853.2,7.98706324918e-09,2.57927621655e-05
830.731,1.33162004465e-08,0.000229301464168
808.834,2.41339073185e-08,0.000770582739083
787.561,4.31731369543e-08,0.00105620853694
766.809,7.44791500455e-08,0.00113976809164
746.627,1.38459423568e-07,0.00132291695672
726.969,2.63403790522e-07,0.00150084424892
707.793,4.97674439999e-07,0.00168226092208
689.182,9.36664003576e-07,0.00192006100365
671.015,1.74035911539e-06,0.00221826458892
653.368,3.00233449275e-06,0.00254976432799
636.135,5.17286516107e-06,0.00298774066778
619.385,8.77297045537e-06,0.00351548786199
603.084,1.50994180508e-05,0.00427636420487
587.202,2.61027958171e-05,0.00538838797383
571.738,4.18765387631e-05,0.00689270006285
556.668,6.54671543797e-05,0.00878723399046
542.016,9.95580492407e-05,0.0111238634237
527.734,0.00014958929095,0.014665940176
513.844,0.000221177254484,0.0192559780692
500.323,0.000296757402567,0.0248119047787
487.131,0.000366602766507,0.0315548873078
474.308,0.000379026798586,0.0396740923557
461.816,0.000341828996279,0.0497223485192
449.655,0.000284240582874,0.0616104836654
437.809,0.000218140272642,0.0770114056529
426.292,0.000160266816358,0.0953231561883
415.06,0.000111968117047,0.11721592639
404.127,6.77299764158e-05,0.14305638688
393.481,3.77712344473e-05,0.172460291861
383.12,1.95261390831e-05,0.205552450684
373.033,9.30456591304e-06,0.242656556773
363.208,4.0713756253e-06,0.286202678734
353.644,1.62264011772e-06,0.33503525644
344.332,6.24503086434e-07,0.391574093646
335.262,3.5002161591e-07,0.457912569731
326.434,2.14972933693e-07,0.530778399857
317.839,1.47655286733e-07,0.608948136928
309.469,1.59180351137e-07,0.699880003035
301.315,1.78454573813e-07,0.800870403937
293.385,4.97412447899e-07,0.909949567037
285.658,2.09344510893e-06,1.03664545271
278.134,1.38492742559e-05,1.18068152519
270.807,7.48178562299e-05,1.32750488683
263.676,0.000323563762287,1.46983665576
256.736,0.00116306484607,1.62317379969
249.975,0.00361055991842,0.0500321710632
243.389,0.00978249864955,0.0383180434117
236.982,0.023429508735,0.0282939796638
230.741,0.0502520819906,0.020029864255
224.661,0.097655002898,0.0135291415092
218.746,0.176718788702,0.00881103484891
212.985,0.296541012031,0.00543858832998
207.377,0.462748919477,0.00315836344417
201.915,0.691883677683,0.0021686351299
196.597,0.99791646991,0.00173340214034
191.421,1.3864259163,0.00137235064331
186.379,1.85858912313,0.00107238491351
181.471,2.40196402118,0.000836733523336
176.691,3.01171332499,0.000655473935103
172.04,3.67511166168,0.00051270832743
167.509,4.32247415977,7.69039656763e-05
163.097,4.96448976489,6.4130458795e-05
158.802,5.61073069511,4.36014465112e-05
154.62,6.33283648149,2.96131314108e-05
150.548,7.1336415017,2.32020968866e-05
146.583,7.92172723626,2.35184130057e-05
142.722,8.6701891499,2.43960940449e-05
138.964,9.40322932298,2.79071538389e-05
135.304,9.99533490606,3.27334916075e-05
131.741,10.5167131757,3.88420155532e-05
128.272,11.0405931888,4.67212158935e-05
124.894,11.113646179,5.50252053015e-05
121.611,11.3337102542,6.66339579216e-05
118.405,11.5263031557,8.19551830913e-05
115.289,11.7644451066,0.000103093922182
112.251,12.2100202323,0.000132543157033
109.292,12.6173742863,0.000171094591246
106.412,12.9782061533,0.000220509469157
103.611,13.3567102442,0.000284238439881
100.887,13.7351395443,0.000365374036751
98.2252,14.131600304,0.000497139275392
95.6411,14.5436359349,0.000714747639175
93.1195,15.1611834558,0.00103871428353
90.6677,15.8710366316,0.00150938132544
88.2789,16.3334593433,0.00214583196359
85.959,16.7195756925,0.00301748410588
