day_ar,fism_pred,fism_wv
2007001,"[  2.22144286e-06   2.27395867e-06   2.36375558e-06 ...,  -2.18781573e-03
  -2.18836870e-03  -2.18892167e-03]",0.5
2007002,"[  4.33846908e-05   4.41138909e-05   4.53607499e-05 ...,  -3.12673748e-02
  -3.12752835e-02  -3.12831886e-02]",1.5
2007003,"[  2.75574093e-05   2.77449108e-05   2.80655222e-05 ...,  -8.14864691e-03
  -8.15071166e-03  -8.15277640e-03]",2.5
2007004,"[  1.97136833e-05   1.98166181e-05   1.99926289e-05 ...,  -4.45694150e-03
  -4.45807166e-03  -4.45920229e-03]",3.5
2007005,"[  2.75750863e-05   2.77298714e-05   2.79945343e-05 ...,  -6.71963673e-03
  -6.72134059e-03  -6.72304444e-03]",4.5
2007006,"[  2.64405808e-05   2.65694216e-05   2.67897231e-05 ...,  -5.59392665e-03
  -5.59534598e-03  -5.59676532e-03]",5.5
2007007,"[ 0.00010156  0.00010183  0.00010253 ..., -0.00017471 -0.00017485
 -0.00017499]",6.05000000075
2007008,"[  8.75218029e-05   8.78471692e-05   8.86736598e-05 ...,  -2.33052764e-04
  -2.33235492e-04  -2.33418221e-04]",6.15000000596
2007009,"[  7.83323339e-05   7.88918551e-05   8.03078656e-05 ...,  -5.46414580e-04
  -5.46708296e-04  -5.47002011e-04]",6.25
2007010,"[  6.25304237e-05   6.30416907e-05   6.43475505e-05 ...,  -5.92256838e-04
  -5.92580764e-04  -5.92904631e-04]",6.35000002384
2007011,"[  4.37160816e-05   4.39287469e-05   4.44717953e-05 ...,  -1.88072270e-04
  -1.88204387e-04  -1.88336504e-04]",6.45000001788
2007012,"[  4.92680774e-05   4.96916000e-05   5.07606092e-05 ...,  -4.35282505e-04
  -4.35492897e-04  -4.35703318e-04]",6.55000001192
2007013,"[  4.33742571e-05   4.37443232e-05   4.46902231e-05 ...,  -4.36252129e-04
  -4.36489296e-04  -4.36726434e-04]",6.65000003576
2007014,"[  4.07423759e-05   4.09502536e-05   4.14824644e-05 ...,  -1.92926134e-04
  -1.93061758e-04  -1.93197382e-04]",6.75
2007015,"[  2.87154853e-05   2.88934370e-05   2.93434932e-05 ...,  -1.62269775e-04
  -1.62361626e-04  -1.62453478e-04]",6.85000002384
2007016,"[  6.53517927e-05   6.59380457e-05   6.74213006e-05 ...,  -5.80300810e-04
  -5.80608961e-04  -5.80917054e-04]",6.94999998808
2007017,"[  4.59283292e-05   4.62021635e-05   4.69029219e-05 ...,  -2.56029802e-04
  -2.56207015e-04  -2.56384228e-04]",7.04999995232
2007018,"[  4.21323348e-05   4.24532336e-05   4.32682973e-05 ...,  -2.91815115e-04
  -2.91995500e-04  -2.92175915e-04]",7.14999997616
2007019,"[  5.40597284e-05   5.43315546e-05   5.50252989e-05 ...,  -2.34306237e-04
  -2.34473991e-04  -2.34641760e-04]",7.25
2007020,"[  3.44187902e-05   3.46693705e-05   3.53080068e-05 ...,  -2.56093306e-04
  -2.56245083e-04  -2.56396830e-04]",7.34999990463
2007021,"[  4.11029287e-05   4.13297530e-05   4.19029966e-05 ...,  -1.99686663e-04
  -1.99802715e-04  -1.99918737e-04]",7.44999992847
2007022,"[  4.32748639e-05   4.36403243e-05   4.45637997e-05 ...,  -3.29383474e-04
  -3.29569302e-04  -3.29755101e-04]",7.54999995232
2007023,"[  3.47051428e-05   3.50394439e-05   3.58970174e-05 ...,  -3.40831844e-04
  -3.41056206e-04  -3.41280567e-04]",7.64999997616
2007024,"[  3.60289159e-05   3.62339924e-05   3.67578577e-05 ...,  -1.80551171e-04
  -1.80678981e-04  -1.80806761e-04]",7.75
2007025,"[  3.04524165e-05   3.06425936e-05   3.11267904e-05 ...,  -1.69233419e-04
  -1.69345542e-04  -1.69457664e-04]",7.84999990463
2007026,"[  2.85819606e-05   2.87643597e-05   2.92293826e-05 ...,  -1.57378148e-04
  -1.57487797e-04  -1.57597446e-04]",7.94999992847
2007027,"[  2.78016068e-05   2.80203058e-05   2.85784317e-05 ...,  -2.04357231e-04
  -2.04491385e-04  -2.04625539e-04]",8.04999995232
2007028,"[  3.81898062e-05   3.84059749e-05   3.89535635e-05 ...,  -1.83730095e-04
  -1.83845812e-04  -1.83961529e-04]",8.14999985695
2007029,"[  5.08368139e-05   5.11535291e-05   5.19603418e-05 ...,  -2.68433127e-04
  -2.68621166e-04  -2.68809206e-04]",8.25
2007030,"[  4.98450536e-05   5.01007016e-05   5.07522818e-05 ...,  -2.12190324e-04
  -2.12343613e-04  -2.12496889e-04]",8.34999990463
2007031,"[  3.94053604e-05   3.96447576e-05   4.02548430e-05 ...,  -1.99878486e-04
  -2.00021459e-04  -2.00164417e-04]",8.45000004768
2007032,"[  3.17827362e-05   3.19749561e-05   3.24665307e-05 ...,  -1.63644741e-04
  -1.63766425e-04  -1.63888108e-04]",8.54999995232
2007033,"[  3.21877560e-05   3.23409768e-05   3.27308189e-05 ...,  -1.27040257e-04
  -1.27129417e-04  -1.27218562e-04]",8.64999985695
2007034,"[  2.98703981e-05   3.00128286e-05   3.03745692e-05 ...,  -1.27587991e-04
  -1.27668594e-04  -1.27749197e-04]",8.75
2007035,"[  3.09848838e-05   3.11479889e-05   3.15627076e-05 ...,  -1.52519875e-04
  -1.52614040e-04  -1.52708191e-04]",8.84999990463
2007036,"[  3.22130654e-05   3.23752902e-05   3.27908747e-05 ...,  -1.37571915e-04
  -1.37677984e-04  -1.37784024e-04]",8.95000004768
2007037,"[  3.02713888e-05   3.04289733e-05   3.08314411e-05 ...,  -1.36216258e-04
  -1.36314222e-04  -1.36412171e-04]",9.04999995232
2007038,"[  3.38123755e-05   3.39832623e-05   3.44191467e-05 ...,  -1.42717938e-04
  -1.42821795e-04  -1.42925652e-04]",9.14999985695
2007039,"[  3.11456679e-05   3.13021228e-05   3.17016966e-05 ...,  -1.33023394e-04
  -1.33120717e-04  -1.33218055e-04]",9.25
2007040,"[  3.09167881e-05   3.11429067e-05   3.17167178e-05 ...,  -2.56650936e-04
  -2.56777304e-04  -2.56903673e-04]",9.34999990463
2007041,"[  2.69864195e-05   2.70578203e-05   2.71858898e-05 ...,  -1.51417131e-04
  -1.51492510e-04  -1.51567889e-04]",9.45000004768
2007042,"[  3.85262974e-05   3.86780412e-05   3.90605965e-05 ...,  -1.19150100e-04
  -1.19224271e-04  -1.19298435e-04]",9.54999995232
2007043,"[  3.65310952e-05   3.66704116e-05   3.70238595e-05 ...,  -1.10232286e-04
  -1.10310357e-04  -1.10388413e-04]",9.64999985695
